group,state,J,mtf_geomean_reg,mtf_p10,min_illum,dist_max,efl,fno
scratch,21 28 47 33 0 4 0 2,50.884021292323375,0.0009648180616025364,0.0,0.0,6.6911457051937635,63.041159790974795,2.242532921043669
scratch,13 12 14 56 2 1 2 0,45.42666845662208,0.008236445097182517,0.0,0.0,1.54935227554885,57.33768298628571,1.9904476473645993
scratch,21 68 55 33 4 4 0 0,51.10154417654028,0.0018098903830255331,0.0,0.0,10.376900903186453,64.0895013886533,2.2850019525350977
scratch,45 12 63 57 2 4 2 0,53.50184458304025,0.0025777794099397515,0.0,0.0,21.057417942545822,72.41569738291615,2.594207503530446
scratch,69 28 57 15 0 4 0 2,49.450268417492175,0.0011906551251718112,0.0,0.0,0.49192489433671255,57.36816482384372,2.0052902154810575
scratch,61 36 22 32 2 1 1 4,63.116678881741514,0.0022951871862868256,0.0,0.0,27.13767278382896,49.4565307470905,1.5707053856527367
scratch,13 52 33 62 2 2 0 4,51.19489968592381,0.0028926287649065604,0.0,0.0,18.815330754884375,73.4488728681206,2.4854855546510506
scratch,29 60 23 57 4 2 1 1,56.20155696120388,0.0022240960442578123,0.0,0.0,13.975081029448836,50.892949445487524,1.772606724884771
scratch,5 52 15 57 3 3 3 2,51.736763924818106,0.0017763591011077675,0.0,0.0,10.9115629304521,62.77615052232524,2.1965888805590783
scratch,13 52 54 56 3 0 3 4,45.53561089010019,0.025467597438739,0.0,0.0,5.715082719626223,57.2864140352469,1.92531453474246
scratch,53 36 57 40 0 0 0 3,51.350560656202866,0.0007363347139356387,0.0,0.0,3.8600513169658828,58.63747784493156,2.0281440768081134
scratch,53 60 57 47 0 3 0 3,59.35260777966515,0.0009607138054885136,0.0,0.0,16.079360978216183,49.075410831384296,1.7141317538620215
scratch,13 12 14 57 1 2 1 4,50.6548644921127,0.0019214770289879446,0.0,0.0,5.4811082795313295,59.04572109739329,2.056543213039676
scratch,5 52 55 33 0 3 0 4,51.25282436830708,0.0009244048043856177,0.0,0.0,8.781219108956781,65.25929460936243,2.2808612893236297
scratch,36 21 39 33 0 1 3 0,43.79025853023504,0.011467996613295625,0.0051885740925337945,0.524683668977623,26.793379042525046,74.8564703325587,2.5678720752915436
scratch,53 44 15 57 0 4 1 4,51.41309241847224,0.0008133709082916474,0.0,0.0,5.344989675793222,60.601058158386394,2.1763765032889206
opt10,11 45 38 56 4 3 0 4,54.19032156786775,0.008300292517931162,0.004013455780045228,0.6304310100116817,46.746390749068034,86.24931174299915,3.530016079938845
opt10,59 53 32 41 3 0 0 1,52.366074968293546,0.011328431655847597,0.004844916553623974,0.686053380272681,41.29252489346428,80.25279014927294,3.2570789219018237
opt10,12 53 14 56 3 0 0 0,40.05587269601315,0.009253356522435465,0.0034935047749522167,0.6202222235599737,10.929370891807343,58.97157664976155,2.0931038303073426
opt10,35 53 70 57 4 4 0 3,49.37561233080745,0.0065791214869414276,0.0033030982675923987,0.6514162421343286,24.3163607888711,56.73883998543518,2.305102175353876
opt10,59 53 14 57 1 2 0 4,49.44482878089434,0.007142806250035459,0.003009538063749222,0.6654838238026991,25.655375716638943,58.93144462189492,2.420304380150759
opt10,11 13 14 32 0 3 0 0,49.74656665270013,0.007155241380476835,0.0038770449382686217,0.6337757963886658,30.675763751654888,66.01357549481182,2.6565040587420756
opt10,60 53 56 17 2 2 1 3,42.79201424991712,0.006576725729629937,0.00225970718349368,0.5455341450318413,17.878956857794176,66.5214751629003,2.2906416425536436
opt10,11 5 41 56 1 2 0 1,53.97905028191869,0.007879469613619225,0.0026680679684793927,0.6294092075686791,44.68483420438375,81.95672211381398,3.345973958513375
opt10,52 45 54 56 3 4 0 4,42.76922280044822,0.007404160231542388,0.003008066955634124,0.5798952785000476,15.938338551244781,60.48721725731576,2.1245954720449634
opt10,68 69 32 38 0 3 0 4,46.591423039331964,0.006662347839241676,0.0018991792955518894,0.501111377248144,32.64400885579301,81.74111937812107,2.878616240568725
opt10,35 53 6 32 1 1 2 3,46.556135835178836,0.007323144641517584,0.003279347796849884,0.6680360335947277,17.036652667935403,52.82862584936744,2.107905319878316
opt10,35 69 54 33 4 3 0 4,48.558272375305904,0.008438068094418764,0.004274112747576702,0.6660495411336272,25.51313088130572,58.65201001681292,2.3636287472215898
opt10,35 29 17 56 4 0 2 3,50.96017794024295,0.008572994542019992,0.0037950893044204734,0.6567499051485687,35.56469385976245,70.04459286630181,2.7727503966623432
opt10,35 61 56 30 4 4 0 0,44.44152780852345,0.013257155909383488,0.006327628519408127,0.62375393651021,16.460004577299664,55.754513788333014,2.1179825180222642
opt10,60 5 32 49 0 1 0 1,43.1804816371246,0.010954891058718127,0.00502639351243612,0.6442479682174521,25.464326273929565,73.68716371535405,2.5410723357864824
opt10,52 21 30 56 3 1 1 2,43.49998495154132,0.007897716451173492,0.0036849124406707475,0.6051899870177764,19.5145901788463,62.408991720924625,2.175043981434079
random,66 70 22 56 4 3 4 4,64.31752754741264,0.005981480610171816,0.0,0.0,32.36580361894112,52.31039656264779,1.4143738477440544
random,56 17 21 66 4 4 4 3,145.35519036238992,0.002309803068735212,0.0,0.0,201.32636910867663,56.5759298828373,1.4051550105120025
random,34 68 53 46 3 0 2 3,158.97302988678044,0.0011398525894575975,0.0,0.0,72.76328452322085,263.27590861998317,8.724226216253541
random,48 21 60 62 3 1 4 0,28.535217369918414,0.005101721393499225,0.0024076884486971,0.6916863032071114,7.728738955495666,79.6691488071196,1.8279104447090995
random,67 37 44 69 1 4 4 1,81.32567082157418,0.008877858542111806,0.004209432352598281,0.3472918210066334,20.393770824212663,-58.326176370816725,2.3623025311137895
random,70 2 39 27 2 3 3 2,58.76392024939343,0.0008188742440337769,0.0,0.0,12.776114822646274,143.3205860061675,2.866241792629651
random,42 29 20 54 3 2 0 1,377.1785395071687,0.002504541742402506,0.0,0.61802726950345,90.56989300771689,693.2819254590586,20.456562961830073
random,11 23 12 11 2 4 0 3,304.9527402217381,0.00783069363107546,0.002163305635760904,0.5174554999159879,83.86166602500201,-421.8712111494728,14.921193567601296
random,64 66 41 32 3 4 0 1,52.45164945210218,0.005670669666686821,0.0019598193784122102,0.707057980691147,46.18643993897032,71.53449331523412,1.4469606676784366
random,45 61 8 60 3 3 0 1,152.71649800339327,0.0007223412347361941,0.0,0.0,70.02564566240716,274.2865768096452,7.406342966152778
random,8 64 61 29 0 2 2 1,193.0411274129886,0.0017705301867428883,0.0,0.0,304.60618547667804,47.313119041873286,0.921203753742816
random,27 53 11 34 4 2 1 3,117.32702147086684,0.009649008596979624,0.003777260583085496,0.4095469964666003,134.7918224484525,-29.621019660807896,1.2378866587838897
random,48 50 54 44 0 1 0 2,44.00758208226457,0.0017779858171401556,0.0,0.0,7.390552315898626,121.08251710876027,2.4435309226962687
random,4 41 27 34 0 0 1 2,129.76644721755792,0.009735640540875458,0.004731259139993852,0.3880139574254721,37.9126861925051,-127.55841409613744,4.6358978865287455
random,34 42 40 59 1 1 0 4,111.51708770467371,0.006078924960434016,0.0,0.0,19.257182526301072,-104.03982041866105,2.9131725531631383
random,13 64 52 38 1 4 0 4,40.75348584958519,0.002200532514074245,0.0,0.0,13.536110492006882,98.46272063935164,2.4979954318025697
